borough,neighborhood,building_class_category,tax_class_as_of_final_roll_18_19,block,lot,ease_ment,building_class_as_of_final_roll_18_19,address,apartment_number,zip_code,residential_units,commercial_units,total_units,land_square_feet,gross_square_feet,year_built,tax_class_at_time_of_sale,building_class_at_time_of_sale,sale_price,sale_date,year
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5391,65,NA,A3,22 BLUE HERON DRIVE,NA,10312,1,0,1,8000,3000,1987,1,A3,1185000,43178,2018
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5403,8,NA,A1,254 SHIRLEY AVENUE,NA,10312,1,0,1,7500,3205,1970,1,A1,915000,43455,2018
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5404,46,NA,A1,119 LENZIE STREET,NA,10312,1,0,1,8000,3660,1998,1,A1,1250000,43405,2018
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5406,26,NA,A2,87 ELMBANK STREET,NA,10312,1,0,1,5000,912,1950,1,A2,530000,43217,2018
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5408,7,NA,A2,192 BATHGATE STREET,NA,10312,1,0,1,2500,572,1930,1,A2,375000,43370,2018
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5425,31,NA,A2,7 SANDGAP STREET,NA,10312,1,0,1,2500,624,1925,1,A2,208000,43341,2018
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6205,41,NA,A5,68 SEGUINE PLACE,NA,10312,1,0,1,2243,1373,1986,1,A5,460000,43182,2018
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6205,65,NA,A5,24 SEGUINE PLACE,NA,10312,1,0,1,2267,1320,1986,1,A5,0,43384,2018
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6205,112,NA,A5,50 MAY PLACE,NA,10312,1,0,1,2475,2495,1986,1,A5,525000,43395,2018
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6205,112,NA,A5,50 MAY PLACE,NA,10312,1,0,1,2475,2495,1986,1,A5,638729,43214,2018
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6205,119,NA,A5,34 MAY PLACE,NA,10312,1,0,1,2475,2495,1986,1,A5,625000,43279,2018
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6211,6,NA,A5,31 EAGAN AVENUE,NA,10312,1,0,1,1800,1825,1986,1,A5,500000,43391,2018
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6211,22,NA,A5,5 EAGAN AVENUE,NA,10312,1,0,1,1508,1521,1986,1,A5,346788,43433,2018
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6211,38,NA,A5,94 SEGUINE PLACE,NA,10312,1,0,1,2300,1320,1986,1,A5,100,43182,2018
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6211,38,NA,A5,94 SEGUINE PLACE,NA,10312,1,0,1,2300,1320,1986,1,A5,395460,43363,2018
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6211,41,NA,A5,90 SEGUINE PLACE,NA,10312,1,0,1,1508,1068,1986,1,A5,0,43264,2018
