borough,neighborhood,building_class_category,tax_class_at_present,block,lot,ease_ment,building_class_at_present,address,apartment_number,zip_code,residential_units,commercial_units,total_units,land_square_feet,gross_square_feet,year_built,tax_class_at_time_of_sale,building_class_at_time_of_sale,sale_price,sale_date,year
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5391,10,NA,A5,4724 AMBOY ROAD,NA,10312,1,0,1,2997,910,2002,1,A5,0,44439,2021
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5396,41,NA,A1,21 TALLMAN STREET,NA,10312,1,0,1,9968,3940,1990,1,A1,0,44274,2021
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5397,30,NA,A1,5 EYLANDT STREET,NA,10312,1,0,1,10120,3000,1984,1,A1,0,44259,2021
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5398,35,NA,A2,195 HAROLD AVENUE,NA,10312,1,0,1,10296,3770,1984,1,A2,1170000,44393,2021
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5401,5,NA,A2,28 JANSEN STREET,NA,10312,1,0,1,10800,2164,1980,1,A2,0,44539,2021
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5401,42,NA,A2,265 HAROLD AVENUE,NA,10312,1,0,1,8190,2100,1980,1,A2,925000,44498,2021
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5403,1,NA,A1,268 SHIRLEY AVENUE,NA,10312,1,0,1,6900,902,1920,1,A1,555000,44501,2021
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5404,1,NA,A1,114 NOEL STREET,NA,10312,1,0,1,7904,3000,1999,1,A1,1300000,44487,2021
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5407,6,NA,A1,118 ELMBANK STREET,NA,10312,1,0,1,6200,2580,1975,1,A1,0,44244,2021
