observation_date,CUURA101SA0
2017-01-01,266.917
2017-02-01,267.662
2017-03-01,267.582
2017-04-01,267.948
2017-05-01,268.183
2017-06-01,268.666
2017-07-01,268.051
2017-08-01,268.657
2017-09-01,270.059
2017-10-01,269.575
2017-11-01,269.381
2017-12-01,269.564
2018-01-01,270.771
2018-02-01,272.214
2018-03-01,272.196
2018-04-01,272.950
2018-05-01,274.001
2018-06-01,274.170
2018-07-01,274.073
2018-08-01,274.441
2018-09-01,275.455
2018-10-01,275.101
2018-11-01,274.478
2018-12-01,273.836
2019-01-01,275.144
2019-02-01,275.823
2019-03-01,276.570
2019-04-01,277.441
2019-05-01,278.068
2019-06-01,278.802
2019-07-01,278.817
2019-08-01,279.428
2019-09-01,279.338
2019-10-01,279.255
2019-11-01,279.468
2019-12-01,279.816
2020-01-01,282.020
2020-02-01,282.577
2020-03-01,281.975
2020-04-01,280.623
2020-05-01,282.092
2020-06-01,282.333
2020-07-01,283.624
2020-08-01,283.478
2020-09-01,284.551
2020-10-01,284.121
2020-11-01,283.291
2020-12-01,284.350
2021-01-01,285.525
2021-02-01,286.474
2021-03-01,287.481
2021-04-01,289.493
2021-05-01,290.991
2021-06-01,293.872
2021-07-01,293.553
2021-08-01,293.927
2021-09-01,295.488
2021-10-01,296.472
2021-11-01,297.490
2021-12-01,296.865
2022-01-01,300.164
2022-02-01,301.151
2022-03-01,305.024
2022-04-01,307.781
2022-05-01,309.243
2022-06-01,313.589
2022-07-01,312.615
2022-08-01,313.280
2022-09-01,313.880
2022-10-01,314.338
2022-11-01,314.975
2022-12-01,315.656
2023-01-01,318.151
2023-02-01,319.295
2023-03-01,319.038
2023-04-01,319.211
2023-05-01,320.002
2023-06-01,321.290
2023-07-01,322.496
2023-08-01,324.380
2023-09-01,325.613
2023-10-01,325.288
2023-11-01,324.520
2023-12-01,324.691
2024-01-01,328.006
2024-02-01,328.606
2024-03-01,329.829
2024-04-01,331.270
2024-05-01,332.633
2024-06-01,334.782
2024-07-01,335.642
2024-08-01,336.534
2024-09-01,337.889
2024-10-01,338.166
2024-11-01,338.535
2024-12-01,338.610
