borough,neighborhood,building_class_category,tax_class_at_present,block,lot,easement,building_class_at_present,address,apartment_number,zip_code,residential_units,commercial_units,total_units,land_square_feet,gross_square_feet,year_built,tax_class_at_time_of_sale,building_class_at_time_of_sale,sale_price,sale_date,year
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5391,11,NA,A5,4720 AMBOY ROAD,NA,10312,1,0,1,2880,910,2002,1,A5,800000,45715,2025
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5391,12,NA,A5,4718 AMBOY ROAD,NA,10312,1,0,1,1746,910,2002,1,A5,655000,45825,2025
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5391,40,NA,A1,551 OAKDALE STREET,NA,10312,1,0,1,10000,3904,1980,1,A1,1350000,45728,2025
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5395,4,NA,A1,26 EDWIN STREET,NA,10312,1,0,1,7654,2277,1980,1,A1,0,45855,2025
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5398,6,NA,A1,24 EYLANDT STREET,NA,10312,1,0,1,10080,3408,1984,1,A1,0,45799,2025
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5401,26,NA,A1,7 WEAVER STREET,NA,10312,1,0,1,10800,4743,1980,1,A1,1415000,45593,2025
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5403,4,NA,A2,260 SHIRLEY AVENUE,NA,10312,1,0,1,7500,1600,1970,1,A2,995000,45622,2025
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5403,31,NA,A1,85 NOEL STREET,NA,10312,1,0,1,5000,2400,2002,1,A1,1200000,45706,2025
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5404,5,NA,A1,110 NOEL STREET,NA,10312,1,0,1,5800,2700,1998,1,A1,1417000,45776,2025
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5404,35,NA,A2,95 LENZIE STREET,NA,10312,1,0,1,7500,1328,1930,1,A2,0,45582,2025
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5404,43,NA,A3,111 LENZIE STREET,NA,10312,1,0,1,6200,4280,1998,1,A1,1420000,45603,2025
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5406,35,NA,A5,103 ELMBANK STREET,NA,10312,1,0,1,2500,1200,1999,1,A5,635000,45775,2025
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6205,14,NA,A5,97 EAGAN AVENUE,NA,10312,1,0,1,1845,1854,1986,1,A5,0,45728,2025
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6205,79,NA,A5,4 SEGUINE PLACE,NA,10312,1,0,1,1755,1854,1986,1,A5,683000,45680,2025
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6205,124,NA,A5,22 MAY PLACE,NA,10312,1,0,1,2475,2495,1986,1,A5,490000,45580,2025
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6205,145,NA,A5,60 SEGUINE PLACE,NA,10312,1,0,1,1471,1172,1986,1,A5,570000,45618,2025
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6209,19,NA,A5,212 SNEDEN AVENUE,NA,10312,1,0,1,1950,1592,2006,1,A5,700000,45582,2025
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6211,1,NA,A5,39 EAGAN AVE,NA,10312,1,0,1,2600,1825,1986,1,A5,755500,45868,2025
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6211,33,NA,A5,102 SEGUINE PLACE,NA,10312,1,0,1,1550,1521,1986,1,A5,136956,45817,2025
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6212,22,NA,A1,84 JEANETTE AVENUE,NA,10312,1,0,1,6000,1088,1940,1,A1,0,45728,2025
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6212,50,NA,A5,36 LUCY LOOP,NA,10312,1,0,1,2870,1500,2000,1,A5,825000,45568,2025
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6212,57,NA,A5,95 LORRAINE AVENUE,NA,10312,1,0,1,2400,1548,2005,1,A5,710000,45911,2025
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6214,14,NA,A1,137 FABIAN ST,NA,10312,1,0,1,5000,2788,1982,1,A1,341000,45576,2025
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6214,26,NA,A1,110 MOSELY AVENUE,NA,10312,1,0,1,7500,1480,1960,1,A1,850000,45700,2025
