School Name,Ranking,Nta_name
Staten Island Technical High School,10,New Dorp-Midland Beach
P.s. 5 Huguenot,10,"	Annadale-Huguenot-Prince's Bay-Woodrow"
Naples Street Elementary School,10,"	Grasmere-Arrochar-South Beach-Dongan Hills"
P.s. 35 Clove Valley School,10,"	West New Brighton-Silver Lake-Grymes Hill"
P.s. 8 Shirlee Solomon,10,"Great Kills-Eltingville	"
P.s. 50 Frank Hankinson,10,"Oakwood-Richmondtown	"
P.s. 3 Margaret Gioiosa School,10,"	Annadale-Huguenot-Prince's Bay-Woodrow"
Csi High School For International Studies,10,"New Springville-Willowbrook-Bulls Head-Travis	"
Barbara Esselborn School,10,"Great Kills-Eltingville	"
I.s. 7 Elias Bernstein,10,"Annadale-Huguenot-Prince's Bay-Woodrow	"
P.s. 23 Richmondtown,10,"Oakwood-Richmondtown	"
I.s. 34 Tottenville,9,"Tottenville-Charleston	"
Hellenic Classical Charter School - Staten Island,9,"New Springville-Willowbrook-Bulls Head-Travis	"
Kathleen Grimm School For Leadership,9,"Annadale-Huguenot-Prince's Bay-Woodrow	"
I.s. 75 Frank D Paulo,9,"Arden Heights-Rossville	"
P.s. 32 Gifford School,9,"Great Kills-Eltingville	"
Gaynor Mccown Expeditionary Learning School,9,"New Springville-Willowbrook-Bulls Head-Travis	"
I.s. 24 Myra S Barnes,9,"Great Kills-Eltingville	"
P.s. 56 Louis Desario School,9,"Arden Heights-Rossville	"
Susan E Wagner High School,9,"Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights	"
P.s. 30 Westerleigh,9,"Westerleigh-Castleton Corners	"
P.s. 6 Corporal Allan F Kivlehan School,9,"Tottenville-Charleston	"
P.s. 48 William G Wilcox,9,"Grasmere-Arrochar-South Beach-Dongan Hills	"
P.s. 42 Eltingville,9,"Great Kills-Eltingville	"
P.s. 52 John C Thompson,8,"New Dorp-Midland Beach	"
P.s. 26 Carteret School,8,"New Springville-Willowbrook-Bulls Head-Travis	"
P.s. 1 Tottenville,8,"Tottenville-Charleston	"
P.s. 55 Henry M Boehm,8,"Great Kills-Eltingville	"
Marsh Avenue School For Expeditionary Learning,8,"New Springville-Willowbrook-Bulls Head-Travis	"
P.s. 54 Charles W Leng,8,"Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights	"
P.s. 36 J C Drumgoole,8,"Annadale-Huguenot-Prince's Bay-Woodrow	"
